Desert Peak Pkwy, Phoenix,22.0 mi,27 mins
N 64th Ln, Phoenix,15.3 mi,29 mins
S 10th Ave, Phoenix,1.5 mi,5 mins
S 5th Ln, Phoenix,5.8 mi,15 mins
E Culver St, Phoenix,4.1 mi,9 mins
W Willow Ridge Dr, Phoenix,7.7 mi,19 mins
E Mclellan Blvd, Phoenix,8.6 mi,15 mins
E Kaler Dr, Phoenix,9.9 mi,16 mins
W Bob O Link Ln, Phoenix,13.7 mi,23 mins
S 43rd St, Phoenix,12.4 mi,19 mins
E Piute Ave, Phoenix,19.4 mi,25 mins
E Nambe St, Phoenix,11.4 mi,18 mins
N 29th St, Phoenix,17.2 mi,22 mins
N Rubicon Ave, Phoenix,3.9 mi,10 mins
E Cordia Ln, Phoenix,24.2 mi,32 mins
E Cll Tuberia, Phoenix,3.8 mi,10 mins
S Mohave St, Phoenix,9.7 mi,15 mins
S, Phoenix,3.4 mi,9 mins
E Kelton Ln, Phoenix,17.4 mi,22 mins
E Anderson Dr, Phoenix,16.8 mi,21 mins
E Maldonado Rd, Phoenix,6.7 mi,13 mins
N Dromedary Rd, Phoenix,7.7 mi,16 mins
W Thalia Ct, Phoenix,28.9 mi,34 mins
S Presario Trail, Phoenix,20.8 mi,26 mins
W Getty Dr, Phoenix,12.4 mi,18 mins
N Trailhead Way, Phoenix,29.2 mi,33 mins
W Magellan Dr, Phoenix,24.5 mi,34 mins
S 36th Way, Phoenix,14.6 mi,19 mins
N 51st St, Phoenix,4.0 mi,11 mins
N 9th Ave, Phoenix,3.3 mi,10 mins
S 7th Pl, Phoenix,4.6 mi,12 mins
N 28th Ave, Phoenix,12.3 mi,16 mins
W Yavapai St, Phoenix,1.9 mi,6 mins
W Hartford Dr, Phoenix,13.4 mi,18 mins
S 81st Glen, Phoenix,13.9 mi,22 mins
W Running Deer Trail, Phoenix,20.1 mi,24 mins
E Piccadilly Rd, Phoenix,4.7 mi,12 mins
N Medinan Dr, Phoenix,14.0 mi,23 mins
W Mohave St, Phoenix,5.2 mi,14 mins
S 22nd Way, Phoenix,5.5 mi,13 mins
N Cobre Dr, Phoenix,12.6 mi,18 mins
W Central Ave, Phoenix,8.1 mi,19 mins
E Ave Del Sol, Phoenix,21.4 mi,27 mins
N 41st Ln, Phoenix,7.9 mi,15 mins
Indian School Rd & Arcadia Dr, Phoenix,3.8 mi,9 mins
E Mountain Village Cir, Phoenix,7.6 mi,15 mins
S 36th Pl, Phoenix,14.1 mi,21 mins
E Eugie Ave, Phoenix,16.5 mi,23 mins
W Bloch Rd, Phoenix,5.9 mi,14 mins
E Friess Dr, Phoenix,15.2 mi,20 mins
W Long Shadow Rd, Phoenix,23.5 mi,27 mins
W Belvoir Rd, Phoenix,12.6 mi,18 mins
N Alameda Rd, Phoenix,20.4 mi,25 mins
E La Puente Ave, Phoenix,9.6 mi,15 mins
N Sandpiper Ln, Phoenix,14.5 mi,20 mins
N 103th Dr, Phoenix,17.3 mi,24 mins
W Augusta N, Phoenix,16.0 mi,23 mins
N St Andrews Way, Phoenix,8.6 mi,20 mins
W Le Marche Ave, Phoenix,14.1 mi,20 mins
E Yuma St, Phoenix,10.3 mi,15 mins
N 16th Ln, Phoenix,5.4 mi,15 mins
E Elm St, Phoenix,6.4 mi,15 mins
S 41st Dr, Phoenix,9.0 mi,20 mins
N 13th Ave, Phoenix,3.1 mi,9 mins
W Old New River Rd, Phoenix,25.6 mi,34 mins
W Northern Lights Way, Phoenix,15.2 mi,28 mins
N Alistair Way, Phoenix,32.0 mi,39 mins
N Camelback Canyon Pl, Phoenix,8.2 mi,18 mins
S 20th St, Phoenix,17.7 mi,23 mins
E Mckinley St, Phoenix,3.1 mi,9 mins
E Monroe St, Phoenix,1.7 mi,6 mins
North Metro Pkwy E, Phoenix,8.6 mi,15 mins
S 5th Way, Phoenix,4.8 mi,14 mins
S 13th St, Phoenix,3.6 mi,10 mins
E Mountain Vista Dr, Phoenix,15.9 mi,20 mins
E Barbed Wire Pass, Phoenix,21.7 mi,27 mins
W Roeser Rd, Phoenix,6.2 mi,14 mins
S 76th Ave, Phoenix,13.3 mi,19 mins
W Sierra Sunset Trail, Phoenix,24.2 mi,30 mins
W Aries Dr, Phoenix,13.0 mi,21 mins
E Crest Ln, Phoenix,20.4 mi,25 mins
N 12th Terrace, Phoenix,13.6 mi,23 mins
W Eagle Talon Trail, Phoenix,21.2 mi,26 mins
W Calavar St, Phoenix,11.2 mi,19 mins
N 15th Way, Phoenix,16.6 mi,25 mins
W Hyman Ave, Phoenix,12.1 mi,18 mins
26th Ave, Phoenix,5.6 mi,11 mins
S 58th Ave, Phoenix,13.8 mi,19 mins
E Pasadena Ave, Phoenix,6.5 mi,15 mins
S 41st Dr, Phoenix,9.0 mi,20 mins
S 40th Dr, Phoenix,9.0 mi,20 mins
E Ridge Rd, Phoenix,7.4 mi,14 mins
S 14th Pl, Phoenix,5.8 mi,14 mins
S 24th Ave, Phoenix,6.9 mi,17 mins
E Denton Ln, Phoenix,4.7 mi,13 mins
S 32nd Way, Phoenix,15.1 mi,19 mins
W Lydia Ln, Phoenix,5.2 mi,14 mins
W Magdalena Ln, Phoenix,7.6 mi,18 mins
N 32nd Ave, Phoenix,23.4 mi,26 mins
W Linger Ln, Phoenix,5.9 mi,15 mins
S 100th Dr, Phoenix,16.3 mi,24 mins
S 52nd Ln, Phoenix,13.6 mi,18 mins
E Mulberry Dr, Phoenix,5.7 mi,14 mins
N 99th Ln, Phoenix,15.7 mi,21 mins
E Brook Hollow Dr, Phoenix,14.8 mi,23 mins
S 80th Dr, Phoenix,12.9 mi,20 mins
W Yavapai St, Phoenix,1.9 mi,6 mins
E Lake Point Ct, Phoenix,9.8 mi,15 mins
W Trapanotto Rd, Phoenix,25.7 mi,30 mins
E Amber Ridge Ct, Phoenix,17.8 mi,22 mins
E Modoc Dr, Phoenix,10.8 mi,17 mins
W Caleb Rd, Phoenix,21.7 mi,26 mins
E Salinas St, Phoenix,11.6 mi,18 mins
W Desert Dr, Phoenix,6.4 mi,17 mins
W Luce Dr, Phoenix,25.7 mi,30 mins
E Kyrene Elementary School, Phoenix,19.2 mi,23 mins
E Olympic Dr, Phoenix,5.5 mi,14 mins
S 18th Ln, Phoenix,6.2 mi,15 mins
Springs At Yorkshire Apartment, Phoenix,14.8 mi,19 mins
S Hurd Ave, Phoenix,14.7 mi,25 mins
S 51st St, Phoenix,9.2 mi,13 mins
N 102nd Ave, Phoenix,16.2 mi,21 mins
E San Juan Rd, Phoenix,10.8 mi,33 mins
W Southgate Ave, Phoenix,3.1 mi,9 mins
N Topanga Trail, Phoenix,20.4 mi,25 mins
N 31st Ave, Phoenix,11.9 mi,18 mins
W Le Marche Ave, Phoenix,14.1 mi,20 mins
Salt River Shore, Phoenix,5.7 mi,10 mins
E Magic Stone Dr, Phoenix,9.6 mi,14 mins
N 46th Pl, Phoenix,17.1 mi,23 mins
N 24th Dr, Phoenix,24.7 mi,29 mins
N 41st Pl, Phoenix,16.0 mi,21 mins
W Sahuaro Dr, Phoenix,9.4 mi,14 mins
E Diana Ave, Phoenix,11.5 mi,18 mins
43rd Ave, Phoenix,11.0 mi,18 mins
E Little Wells Pass, Phoenix,24.9 mi,34 mins
E Branham Ln, Phoenix,8.3 mi,16 mins
N Outer Bank Dr, Phoenix,29.9 mi,34 mins
E Bethany Home Rd, Phoenix,7.7 mi,12 mins
N 24th Pl, Phoenix,5.3 mi,12 mins
E Chickasaw Dr, Phoenix,30.8 mi,36 mins
N Yahoo Trail, Phoenix,25.9 mi,31 mins
Biltmore Estates W, Phoenix,8.0 mi,17 mins
N Dayton St, Phoenix,2.3 mi,9 mins
E Ahwatukee Dr, Phoenix,10.8 mi,16 mins
N Hickok Trail, Phoenix,29.5 mi,34 mins
S Kyrene School, Phoenix,16.6 mi,20 mins
S 8th Dr, Phoenix,6.4 mi,16 mins
W Red Fox Rd, Phoenix,20.2 mi,24 mins
N Mantle Way, Phoenix,30.1 mi,34 mins
W Trapanotto Rd, Phoenix,25.7 mi,30 mins
W Groom Creek Rd, Phoenix,10.7 mi,16 mins
E Nancy Ln, Phoenix,7.2 mi,14 mins
S Desert Foothill Pkwy, Phoenix,20.6 mi,25 mins
N 4oth Ln, Phoenix,11.5 mi,18 mins
N 12th St, Phoenix,5.1 mi,13 mins
W Beaubien Dr, Phoenix,15.6 mi,19 mins
S 54th Ln, Phoenix,13.5 mi,18 mins
E Raymond St, Phoenix,5.2 mi,15 mins
W Old Paint Trail, Phoenix,25.7 mi,29 mins
Kirkland Condos, Phoenix,9.9 mi,23 mins
E Louise Dr, Phoenix,13.9 mi,19 mins
Loop Rd - Grand Canyon University, Phoenix,4.4 mi,10 mins
N 24th Pkwy, Phoenix,9.8 mi,16 mins
S 22nd Ave, Phoenix,6.9 mi,17 mins
N 43rd Way, Phoenix,16.0 mi,22 mins
W Preserve Way, Phoenix,24.5 mi,29 mins
S 53rd Ave, Phoenix,8.5 mi,15 mins
E Marshall Ave, Phoenix,8.2 mi,14 mins
S 14th St, Phoenix,18.0 mi,23 mins
E Yuma St, Phoenix,10.3 mi,15 mins
S 44th Ave, Phoenix,9.3 mi,19 mins
N 36th St, Phoenix,5.5 mi,14 mins
S 50th Ln, Phoenix,15.0 mi,20 mins
E Francisco Dr, Phoenix,6.9 mi,15 mins
W Donatello Dr, Phoenix,26.6 mi,29 mins
N Manor Dr E, Phoenix,3.3 mi,11 mins
S 5th Pl, Phoenix,4.5 mi,13 mins
W Mobile Ln, Phoenix,6.3 mi,15 mins
S 33rd Ln, Phoenix,7.9 mi,18 mins
S 21st Terrace, Phoenix,5.4 mi,13 mins
W Kowalsky Ln, Phoenix,6.6 mi,15 mins
S Desert Foothill Pkwy, Phoenix,20.6 mi,25 mins
N Manor Dr E, Phoenix,3.9 mi,13 mins
S Leila Ln, Phoenix,6.6 mi,17 mins
N Cave Creek Dam Rd, Phoenix,22.3 mi,30 mins
S 6th Ln, Phoenix,6.1 mi,15 mins
N 21st Pl, Phoenix,6.1 mi,13 mins
E Alta Mesa Ave, Phoenix,9.8 mi,16 mins
N 10th Ave, Phoenix,4.1 mi,12 mins
E Rovey Cir, Phoenix,7.5 mi,13 mins
W Parkside Ln, Phoenix,17.6 mi,22 mins
E Mountain Vista Dr, Phoenix,15.9 mi,20 mins
W Johnson St, Phoenix,9.3 mi,15 mins
W Highland Ave, Phoenix,2.7 mi,7 mins
N 13th Terrace, Phoenix,13.9 mi,24 mins
S 36th Way, Phoenix,14.6 mi,19 mins
E Ardmore Dr, Phoenix,6.8 mi,17 mins
S 15th Pl, Phoenix,5.3 mi,12 mins
31st Way, Phoenix,7.7 mi,18 mins
S 20th Way, Phoenix,16.7 mi,20 mins
E Prickly Pear Trail, Phoenix,23.0 mi,30 mins
S 17th Dr, Phoenix,20.3 mi,23 mins
E Merrill Dr, Phoenix,7.0 mi,13 mins
E Buckeye Rd, Phoenix,2.1 mi,6 mins
W Laredo Ln, Phoenix,24.5 mi,29 mins
43rd Ave, Phoenix,11.0 mi,18 mins
S Desert Foothills Pkwy, Phoenix,20.6 mi,25 mins
E Spanish Moss Ln, Phoenix,17.0 mi,25 mins
N 36th St, Phoenix,5.5 mi,14 mins
E Calaveros Dr, Phoenix,12.3 mi,17 mins
S 32nd Ave, Phoenix,5.2 mi,14 mins
N 23rd Ave, Phoenix,12.9 mi,18 mins
N 32nd Cir, Phoenix,9.5 mi,15 mins
W Cottontail Rd, Phoenix,30.1 mi,34 mins
N La Cantera Ct, Phoenix,30.3 mi,35 mins
W Hollyhock Dr, Phoenix,7.7 mi,19 mins
N Hegel Ln, Phoenix,21.5 mi,26 mins
S 37th Way, Phoenix,13.7 mi,20 mins
S 15th Dr, Phoenix,1.9 mi,6 mins
W Mosier Pass, Phoenix,20.8 mi,26 mins
N Casa Tomas Ct, Phoenix,4.5 mi,10 mins
S 15th Ave, Phoenix,4.2 mi,11 mins
E Hazelwood St, Phoenix,6.8 mi,16 mins
E Mountain Vista Dr, Phoenix,15.9 mi,20 mins
F Cir, Phoenix,6.7 mi,15 mins
W Mountain Vista Dr, Phoenix,19.8 mi,24 mins
S Tomah St, Phoenix,10.3 mi,16 mins
S 41st Way, Phoenix,12.3 mi,19 mins
W Flower Cir S, Phoenix,0.8 mi,3 mins
W Alta Vista Rd, Phoenix,6.5 mi,16 mins
W 37th Dr, Phoenix,3.8 mi,10 mins
41st Dr, Phoenix,10.7 mi,19 mins
S 32nd Ln, Phoenix,7.3 mi,17 mins
W Winchcomb Dr, Phoenix,13.0 mi,19 mins
41st Dr, Phoenix,10.7 mi,19 mins
S 34th Dr, Phoenix,8.4 mi,19 mins
N 47th Way, Phoenix,4.0 mi,11 mins
N 8th Ave, Phoenix,6.5 mi,15 mins
E John Cabot Rd, Phoenix,17.9 mi,24 mins
W Hazelhurst Dr, Phoenix,29.7 mi,34 mins
S 24th St, Phoenix,4.8 mi,11 mins
W Steed Ridge, Phoenix,21.2 mi,26 mins
E Ranch Cir N, Phoenix,12.2 mi,19 mins
E Shomi St, Phoenix,11.0 mi,16 mins
E Darrel Rd, Phoenix,5.6 mi,13 mins
E Apollo Rd, Phoenix,6.2 mi,12 mins
N 37th Ct, Phoenix,15.1 mi,20 mins
W Coyote Wash Dr, Phoenix,24.6 mi,29 mins
E Kelton Ln, Phoenix,17.4 mi,22 mins
N 29th Pl, Phoenix,5.5 mi,13 mins
S 48th Way, Phoenix,9.7 mi,16 mins
W Chickasaw, Phoenix,11.5 mi,18 mins
E North Ln, Phoenix,11.7 mi,16 mins
S Kosh St, Phoenix,10.5 mi,15 mins
Palmcroft Way Sw, Phoenix,0.8 mi,3 mins
N Escobar Way, Phoenix,14.7 mi,20 mins
E Townley Ave, Phoenix,12.1 mi,19 mins
N Hana Maui Dr, Phoenix,15.2 mi,22 mins
W Pinnacle Hill Dr, Phoenix,21.1 mi,27 mins
W Albeniz Pl, Phoenix,12.3 mi,18 mins
E Paradise Village Pkwy S, Phoenix,14.9 mi,21 mins
N 38th Ln, Phoenix,3.9 mi,11 mins
S 46th Way, Phoenix,4.9 mi,14 mins
W Rose Garden Ln, Phoenix,15.4 mi,19 mins
N Pointe Golf Club Dr, Phoenix,16.3 mi,23 mins
W Villa Rd, Phoenix,7.9 mi,19 mins
E Lane Ave, Phoenix,9.5 mi,16 mins
W Sells Dr, Phoenix,13.5 mi,22 mins
W Tamarisk St, Phoenix,5.6 mi,16 mins
S 17th Ct, Phoenix,20.6 mi,24 mins
S 28th Pl, Phoenix,8.1 mi,17 mins
E Nowata Dr, Phoenix,11.0 mi,18 mins
E Palomino Rd, Phoenix,4.1 mi,10 mins
S 22nd Ave, Phoenix,6.9 mi,17 mins
E San Marino Apartment, Phoenix,7.9 mi,18 mins
E Lermitage Pl, Phoenix,8.0 mi,13 mins
N 37th Run, Phoenix,20.0 mi,25 mins
E Hashknife Rd, Phoenix,20.7 mi,28 mins
S Pawnee Cir, Phoenix,9.8 mi,15 mins
W Beaubien Dr, Phoenix,15.6 mi,19 mins
W Happy Trail, Phoenix,17.2 mi,23 mins
E Half Moon Dr, Phoenix,10.2 mi,15 mins
S Chinook Ct, Phoenix,10.9 mi,18 mins
W Western Star Blvd, Phoenix,16.5 mi,20 mins
E Sky Harbor Blvd, Phoenix,3.7 mi,7 mins
Woodland Dr, Phoenix,14.5 mi,22 mins
S 14th Ln, Phoenix,20.4 mi,24 mins
E Paisano Cir, Phoenix,2.6 mi,9 mins
S 16th Way, Phoenix,5.6 mi,13 mins
E Desert Trumpet Rd, Phoenix,14.1 mi,21 mins
W Apache St, Phoenix,2.6 mi,9 mins
W Dynamite Blvd, Phoenix,20.1 mi,23 mins
E Loloma Cir, Phoenix,9.7 mi,15 mins
W Summerside Rd, Phoenix,7.8 mi,18 mins
S 56th Ln, Phoenix,14.5 mi,19 mins
S 76th Ln, Phoenix,13.4 mi,19 mins
N 35th Ln, Phoenix,9.2 mi,16 mins
S 52nd Dr, Phoenix,13.8 mi,19 mins
N Caledonia Way, Phoenix,30.4 mi,36 mins
E Thunderhill Pl, Phoenix,14.7 mi,23 mins
W Fraktor Rd, Phoenix,4.3 mi,12 mins
S 37th Way, Phoenix,13.7 mi,20 mins
N 16th St, Phoenix,6.7 mi,13 mins
E Clubhouse Dr, Phoenix,16.6 mi,20 mins
W St Charles Ave, Phoenix,5.0 mi,13 mins
N 25th St, Phoenix,5.1 mi,13 mins
W Park St, Phoenix,8.9 mi,20 mins
W Pierson St, Phoenix,5.9 mi,13 mins
N Manor Dr E, Phoenix,3.3 mi,11 mins
W Terri Lee Dr, Phoenix,12.5 mi,18 mins
E Kachina Trail, Phoenix,9.9 mi,16 mins
N Alameda Rd, Phoenix,20.4 mi,25 mins
W Mohave St, Phoenix,5.2 mi,14 mins
S 47th St, Phoenix,8.2 mi,15 mins
42nd Ave, Phoenix,11.6 mi,21 mins
E Malapai Dr, Phoenix,12.3 mi,17 mins
N 2nd St, Phoenix,3.8 mi,12 mins
39th Dr, Phoenix,3.9 mi,10 mins
Gateway Blvd, Phoenix,3.6 mi,10 mins
N 19th St, Phoenix,5.5 mi,11 mins
W Sells Dr, Phoenix,13.5 mi,22 mins
W Superior Ave, Phoenix,14.0 mi,22 mins
E Rosemonte Dr, Phoenix,19.2 mi,25 mins
25th Pl, Phoenix,16.4 mi,21 mins
E Tapatio Dr, Phoenix,13.1 mi,21 mins
S 8th Terrace, Phoenix,5.3 mi,14 mins
W Amelia Ave, Phoenix,6.5 mi,16 mins
E Desert Dr N, Phoenix,6.0 mi,16 mins
E Pontiac Dr, Phoenix,19.0 mi,23 mins
S 57th Ave, Phoenix,14.2 mi,19 mins
N 36th Dr, Phoenix,11.1 mi,17 mins
S Marketplace Way, Phoenix,19.0 mi,22 mins
E Monona Dr, Phoenix,19.3 mi,25 mins
W St Andrews Ct, Phoenix,7.8 mi,17 mins
W Trapanotto Rd, Phoenix,25.7 mi,30 mins
E Braeburn Dr, Phoenix,16.3 mi,24 mins
N 50th Dr, Phoenix,5.0 mi,13 mins
W Magnolia St, Phoenix,11.1 mi,16 mins
E Harbour Dr, Phoenix,5.4 mi,10 mins
E Winona St, Phoenix,12.5 mi,20 mins
N 2nd Way, Phoenix,7.6 mi,18 mins
S 27th Ln, Phoenix,22.2 mi,27 mins
Black Canyon Access Rd, Phoenix,8.3 mi,13 mins
Fernwood Ct, Phoenix,24.1 mi,31 mins
Eb Baseline Rd Fs S 41st Av, Phoenix,9.1 mi,19 mins
N 1st Dr, Phoenix,8.2 mi,20 mins
S Harmon Pkwy, Phoenix,1.2 mi,5 mins
E Palacio Dr, Phoenix,5.1 mi,14 mins
E Nancy Ln, Phoenix,7.2 mi,14 mins
W Wilshire Ave, Phoenix,12.9 mi,19 mins
W Yoosooni Dr, Phoenix,24.0 mi,32 mins
D Cir, Phoenix,14.7 mi,20 mins
S 14th St, Phoenix,18.0 mi,23 mins
W Gold Mountain Pass, Phoenix,14.5 mi,28 mins
S 49th St, Phoenix,9.8 mi,15 mins
W Barko Ln, Phoenix,24.0 mi,32 mins
W Pinnacle Vista Dr, Phoenix,19.8 mi,23 mins
E Buchanan St, Phoenix,0.2 mi,1 min
N 11th St, Phoenix,5.5 mi,17 mins
W Brianna Rd, Phoenix,23.9 mi,29 mins
W Mohawk Ln, Phoenix,17.1 mi,21 mins
S 14th St, Phoenix,18.0 mi,23 mins
S 6th St, Phoenix,3.2 mi,9 mins
W Mulberry Dr, Phoenix,5.0 mi,15 mins
W Hazelwood Pkwy E, Phoenix,2.7 mi,8 mins
S 30th St, Phoenix,6.8 mi,13 mins
S 68th Ave, Phoenix,11.3 mi,17 mins
Scattergood, Phoenix,383 mi,6 hours 1 min
W Alicen Ct, Phoenix,8.2 mi,20 mins
E Columbia Rd, Phoenix,13.9 mi,19 mins
E Villa St, Phoenix,2.1 mi,7 mins
E Osage Ct, Phoenix,10.7 mi,16 mins
S Half Moon Dr, Phoenix,10.2 mi,15 mins
N 8th Dr, Phoenix,3.7 mi,11 mins
S 18th St, Phoenix,4.0 mi,9 mins
E Pedro Rd, Phoenix,6.5 mi,17 mins
W Monterosa Cir, Phoenix,8.0 mi,19 mins
S 52nd Glen, Phoenix,12.2 mi,19 mins
S 67th Ln, Phoenix,14.5 mi,20 mins
S 17th St, Phoenix,4.4 mi,11 mins
S 63rd Ave, Phoenix,10.9 mi,16 mins
W Covey Ln, Phoenix,16.1 mi,21 mins
N 27th St, Phoenix,4.7 mi,12 mins
S 48th Way, Phoenix,9.7 mi,16 mins
W Rose Marie Ln, Phoenix,15.5 mi,21 mins
S 15th Ave, Phoenix,5.9 mi,15 mins
S 42nd Ave, Phoenix,4.7 mi,10 mins
S Canyon Dr, Phoenix,14.0 mi,22 mins
S 37th Way, Phoenix,13.7 mi,20 mins
W Creek Canyon Rd, Phoenix,27.2 mi,30 mins
